Country,Population,Yearly  change,Yearly Change,Migrants(net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop ,Urban Population,Country's Share of World pop,World Population,Global Rank,"Land Area
(Km²)"
Germany,"83,517,045",0.47,"392,627","543,822",45.9,1.46,240,76.4,"63,787,507",1.08,"7,713,468,100",17,"348,560"
Thailand,"69,625,582",0.28,"197,129","19,444",38.3,1.53,136,50.5,"35,132,892",0.9,"7,713,468,100",20,"510,890"
United Kingdom,"67,530,172",0.58,"388,488","260,650",40.1,1.84,279,82.9,"56,012,276",0.88,"7,713,468,100",21,"241,930"
France,"65,129,728",0.21,"139,217","36,527",41.5,1.95,119,81.1,"52,849,078",0.84,"7,713,468,100",22,"547,557"
Italy,"60,550,075",-0.13,"-77,216","148,943",45.7,1.4,206,69.2,"41,887,345",0.78,"7,713,468,100",23,"294,140"
Tanzania,"58,005,463",3,"1,692,025","-40,076",17.6,5.17,65,36.2,"21,015,391",0.75,"7,713,468,100",25,"885,800"
South Africa,"58,558,270",1.33,"765,752","145,405",26.6,2.52,48,66.3,"38,820,239",0.76,"7,713,468,100",24,"1,213,090"
Myanmar,"54,045,420",0.63,"337,100","-163,313",27.8,2.23,83,31.0,"16,763,626",0.70,"7,713,468,100",26,"653,290"
Kenya,"52,573,973",2.30,"1,181,408","-10,000",19.1,3.95,92,27.3,"14,362,838",0.68,"7,713,468,100",27,"569,140"
South Korea,"51,225,308",0.10,"53,602","11,731",41.4,1.21,527,81.6,"41,805,375",0.66,"7,713,468,100",28,"97,230"
Colombia,"50,339,443",1.37,"678,395","204,796",29.8,1.9,45,80.3,"40,430,278",0.65,"7,713,468,100",29,"1,109,500"
Spain,"46,736,776",0.09,"43,918","40,000",43,1.33,94,80.1,"37,415,111",0.61,"7,713,468,100",30,"498,800"
Uganda,"44,269,594",3.61,"1,540,558","168,694",16.1,5.62,222,25.2,"11,135,655",0.57,"7,713,468,100",32,"199,810"
Argentina,"44,780,677",0.95,"419,527","4,800",30.7,2.32,16,92.7,"41,489,566",0.58,"7,713,468,100",31,"2,736,690"
Algeria,"43,053,054",1.95,"824,646","-10,000",27.7,2.98,18,72.6,"31,236,431",0.56,"7,713,468,100",34,"2,381,740"
Sudan,"42,813,238",2.42,"1,011,705","-50,000",19,4.69,24,34.7,"14,852,586",0.56,"7,713,468,100",35,"1,765,048"
Ukraine,"43,993,638",-0.57,"-252,518","10,000",40.2,1.48,76,69.2,"30,425,950",0.57,"7,713,468,100",33,"579,320"
Iraq,"39,309,783",2.28,"876,183","7,834",20.2,4.13,91,72.7,"28,562,530",0.51,"7,713,468,100",36,"434,320"
Afghanistan,"38,041,754",2.34,"869,833","-62,920",17.4,5.26,58,25.2,"9,582,625",0.49,"7,713,468,100",37,"652,860"
Poland,"37,887,768",-0.09,"-33,824","-29,395",40.1,1.35,124,60.3,"22,831,097",0.49,"7,713,468,100",38,"306,230"
Canada,"37,411,047",0.91,"336,485","242,032",40.5,1.59,4,81.2,"30,376,281",0.49,"7,713,468,100",39,"9,093,510"
Morocco,"36,471,769",1.23,"442,676","-51,419",28.2,2.56,82,63.3,"23,077,900",0.47,"7,713,468,100",40,"446,300"
Saudia Arabia,"34,268,528",1.68,"565,772","134,979",30.3,2.64,16,83.8,"28,700,362",0.44,"7,713,468,100",41,"2,149,690"
Uzbekistan,"32,981,716",1.56,"505,472","-8,863",26.5,2.43,78,50.2,"16,545,875",0.43,"7,713,468,100",42,"425,400"
Peru,"32,510,453",1.63,"521,193","99,069",28.2,2.37,25,79.1,"25,721,093",0.42,"7,713,468,100",43,"1,280,000"
Angola,"31,825,295",3.30,"1,015,508","6,413",16.4,5.91,26,66.1,"21,035,940",0.41,"7,713,468,100",45,"1,246,700"
Malaysia,"31,949,777",1.34,"421,744","50,000",28.6,2.09,97,77.8,"24,862,312",0.41,"7,713,468,100",44,"328,550"
Mozambique,"30,366,036",2.95,"870,032","-5,000",17.2,5.16,39,37.8,"11,472,938",0.39,"7,713,468,100",47,"786,380"
Ghana,"30,417,856",2.19,"650,754","-10,000",20.9,4.12,134,56.1,"17,067,171",0.39,"7,713,468,100",46,"227,540"
Yemen,"29,161,922",2.33,"663,239","-30,000",19.3,4.28,55,37.8,"11,025,440",0.38,"7,713,468,100",48,"527,970"
Nepal,"28,608,710",1.83,"512,996","41,710",22.7,2.24,200,21.1,"6,034,147",0.37,"7,713,468,100",49,"143,350"
Venezuela,"28,515,829",-1.29,"-371,289","-653,249",27.8,2.38,32,N.A.,N.A.,0.37,"7,713,468,100",50,"882,050"
Madagascar,"26,969,307",2.69,"706,994","-1,500",18.9,4.34,46,37.9,"10,211,029",0.35,"7,713,468,100",51,
Cameroon,"25,876,380",2.62,"660,113","-4,800",18.3,4.88,55,55.7,"14,420,409",0.34,"7,713,468,100",52,
Côte d'Ivoire,"25,716,544",2.58,"647,314","-8,000",18.4,4.89,81,50.9,"13,081,753",0.33,"7,713,468,100",53,
North Korea,"25,666,161",0.46,"116,557","-5,403",34.4,1.93,213,62.3,"15,985,383",0.33,"7,713,468,100",54,
Australia,"25,203,198",1.23,"305,046","158,246",37.3,1.87,3,85.7,"21,607,414",0.33,"7,713,468,100",55,
Niger,"23,310,715",3.87,"867,893","4,000",15,7.27,18,16.4,"3,828,158",0.3,"7,713,468,100",57,
Taiwan,"23,773,876",0.2,"47,416","30,001",40.3,1.11,671,78.5,"18,662,774",0.31,"7,713,468,100",56,
Sri Lanka,"21,323,733",0.45,"94,970","-97,986",32.6,2.21,340,18.3,"3,906,383",0.28,"7,713,468,100",58,
Burkina Faso,"20,321,378",2.89,"569,912","-25,000",17.1,5.56,74,30,"6,092,387",0.26,"7,713,468,100",59,
Mali,"19,658,031",3.04,"580,282","-40,000",16,6.26,16,43.2,"8,493,036",0.25,"7,713,468,100",60,
Romania,"19,364,557",-0.73,"-141,557","-73,999",41.6,1.53,84,54.4,"10,537,319",0.25,"7,713,468,100",61,
Malawi,"18,628,747",2.68,"485,530","-16,053",17.4,4.75,198,18.2,"3,386,573",0.24,"7,713,468,100",63,
Chile,"18,952,038",1.19,"222,878","111,708",34.1,1.81,25,84.8,"16,070,807",0.25,"7,713,468,100",62,
Kazakhstan,"18,551,427",1.27,"231,809","-18,000",29.6,2.69,7,57.7,"10,698,322",0.24,"7,713,468,100",64,
Zambia,"17,861,030",2.94,"509,322","-8,000",16.9,5.09,24,44.8,"7,993,486",0.23,"7,713,468,100",65,
Guatemala,"17,581,472",1.93,"333,623","-9,215",21.6,3.13,164,51.4,"9,041,859",0.23,"7,713,468,100",66,
Ecuador,"17,373,662",1.69,"289,304","36,400",26.8,2.54,70,63,"10,941,934",0.23,"7,713,468,100",67,
Syria,"17,070,135",0.74,"125,078","-427,391",24,3.05,93,59.4,"10,141,352",0.22,"7,713,468,100",69,
Netherlands,"17,097,130",0.22,"37,570","16,000",42.3,1.72,507,92.1,"15,740,995",0.22,"7,713,468,100",68,
Senegal,"16,296,364",2.79,"442,041","-20,000",18.2,4.93,85,49,"7,978,972",0.21,"7,713,468,100",71,
Cambodia,"16,486,542",1.46,"236,750","-30,000",24.3,2.66,93,23.8,"3,923,699",0.21,"7,713,468,100",70,
Chad,"15,946,876",3.03,"469,147","2,000",16.1,6.2,13,23.1,"3,681,488",0.21,"7,713,468,100",72,
Somalia,"15,442,905",2.9,"434,679","-40,000",16.3,6.51,25,46.1,"7,122,882",0.2,"7,713,468,100",73,
Zimbabwe,"14,645,468",1.43,"206,666","-116,858",18.5,3.99,38,38,"5,571,525",0.19,"7,713,468,100",74,
Guinea,"12,771,246",2.88,"356,953","-4,000",17.3,5.05,52,38.3,"4,890,393",0.17,"7,713,468,100",75,
Rwanda,"12,626,950",2.64,"324,980","-9,000",19.6,4.22,512,17.5,"2,215,085",0.16,"7,713,468,100",76,
Benin,"11,801,151",2.75,"316,107","-2,000",18.4,5.15,105,47.9,"5,648,384",0.15,"7,713,468,100",77,
Burundi,"11,530,580",3.18,"355,206","2,001",17.2,5.85,449,13.4,"1,547,197",0.15,"7,713,468,100",80,
Tunisia,"11,694,719",1.12,"129,518","-4,000",31.6,2.24,75,69.8,"8,160,285",0.15,"7,713,468,100",78,
Bolivia,"11,513,100",1.41,"159,958","-9,504",24.4,2.99,11,69,"7,940,041",0.15,"7,713,468,100",81,
Belgium,"11,539,328",0.5,"57,150","48,000",41.5,1.77,381,98.2,"11,336,228",0.15,"7,713,468,100",79,
Haiti,"11,263,077",1.26,"139,899","-35,000",23,3.2,409,56.1,"6,317,600",0.15,"7,713,468,100",83,
Cuba,"11,333,483",-0.04,"-4,651","-14,400",41.1,1.69,106,78.2,"8,861,423",0.15,"7,713,468,100",82,
South Sudan,"11,062,113",0.79,"86,186","-174,200",18.6,5.06,18,23.9,"2,639,257",0.14,"7,713,468,100",84,
Dominican Republic,"10,738,958",1.05,"111,817","-30,000",26.8,2.43,222,83.8,"8,998,444",0.14,"7,713,468,100",85,
Czech Republic,"10,689,209",0.22,"23,532","22,011",41.8,1.51,138,73.5,"7,858,221",0.14,"7,713,468,100",86,
Greece,"10,473,455",-0.46,"-48,791","-16,000",43.8,1.34,81,84.3,"8,831,631",0.14,"7,713,468,100",87,
Jordan,"10,101,694",1.37,"136,376","10,220",22.4,3.26,114,90.9,"9,183,930",0.13,"7,713,468,100",89,
Portugal,"10,226,187",-0.29,"-30,006","-6,000",44.3,1.28,112,65.9,"6,743,854",0.13,"7,713,468,100",88,
Azerbaijan,"10,047,718",0.99,"98,181","1,200",30.7,2.09,122,55.8,"5,611,295",0.13,"7,713,468,100",90,
Sweden,"10,036,379",0.65,"64,741","40,000",40.9,1.89,24,87.9,"8,817,415",0.13,"7,713,468,100",91,
Honduras,"9,746,117",1.65,"158,595","-6,800",22.9,2.68,87,56.7,"5,523,992",0.13,"7,713,468,100",93,
United Arab Emirates,"9,770,529",1.45,"139,570","40,000",32.6,1.64,117,86,"8,402,990",0.13,"7,713,468,100",92,
Hungary,"9,684,679",-0.24,"-22,820","6,000",42,1.36,107,71.4,"6,917,508",0.13,"7,713,468,100",94,
Tajikistan,"9,321,018",2.42,"220,183","-20,000",22.1,3.61,67,27.2,"2,537,559",0.12,"7,713,468,100",96,
Belarus,"9,452,411",0,-206,"8,730",39.7,1.66,47,78.9,"7,456,954",0.12,"7,713,468,100",95,
Austria,"8,955,102",0.72,"63,714","65,000",43.3,1.46,109,57.3,"5,129,574",0.12,"7,713,468,100",97,
Papua New Guinea,"8,776,109",1.97,"169,786",-800,21.7,3.79,19,13,"1,137,684",0.11,"7,713,468,100",98,
Serbia,"8,772,235",-0.35,"-30,519","4,000",40.7,1.46,100,56,"4,913,420",0.11,"7,713,468,100",99,
Israel,"8,519,377",1.64,"137,861","10,000",30.3,3.04,394,93.2,"7,940,232",0.11,"7,713,468,100",101,
