Country,Population,Yearly  change,Yearly Change,Migrants(net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop ,Urban Population,Country's Share of World pop,World Population,Global Rank,"Land Area
(Km²)"
China,"1,433,783,686",0.43,"6,135,900","-348,399",37,1.65,153,59.7,"856,409,297",18.59,"7,713,468,100",1,"9,388,211"
India,"1,366,417,754",1.02,"13,775,474","-532,687",27.1,2.36,460,34.5,"471,828,295",17.71,"7,713,468,100",2,"2,973,190"
United States,"329,064,917",0.6,"1,968,652","954,806",37.7,1.85,36,82.5,"271,365,914",4.27,"7,713,468,100",3,"9,147,420"
Indonesia,"270,625,568",1.1,"2,955,025","-98,955",28.8,2.42,149,55.8,"150,900,390",3.51,"7,713,468,100",4,"1,811,570"
Pakistan,"216,565,318",2.04,"4,337,032","-233,379",22,3.73,281,34.9,"75,510,639",2.81,"7,713,468,100",5,"770,880"
Brazil,"211,049,527",0.75,"1,580,204","21,200",31.8,1.76,25,87.4,"184,407,548",2.74,"7,713,468,100",6,"8,358,140"
Nigeria,"200,963,599",2.6,"5,088,916","-60,000",17.9,5.67,221,51.2,"102,805,995",2.61,"7,713,468,100",7,"910,770"
Bangladesh,"163,046,161",1.03,"1,669,453","-369,501",26.1,2.18,"1,253",38.6,"62,865,820",2.11,"7,713,468,100",8,"130,170"
Russia,"145,872,256",0.09,"138,218","182,456",38.8,1.72,9,73.6,"107,327,101",1.89,"7,713,468,100",9,"16,376,870"
Mexico,"127,575,529",1.1,"1,384,741","-60,000",28,2.26,66,83.4,"106,450,227",1.65,"7,713,468,100",10,"1,943,950"
Japan,"126,860,301",-0.27,"-341,891","71,560",46.7,1.4,348,91.7,"116,322,813",1.64,"7,713,468,100",11,"364,555"
Ethiopia,"112,078,730",2.61,"2,854,316","30,000",18.6,4.73,112,20.9,"23,376,340",1.45,"7,713,468,100",12,"1,000,000"
Philippines,"108,116,615",1.37,"1,465,221","-67,152",24.4,2.95,363,47.1,"50,971,408",1.4,"7,713,468,100",13,"298,170"
Egypt,"100,388,073",2,"1,964,475","-38,033",24.3,3.43,101,43.1,"43,229,498",1.3,"7,713,468,100",14,"995,450"
Vietnam,"96,462,106",0.96,"916,144","-80,000",30.9,1.98,311,37,"35,686,730",1.25,"7,713,468,100",15,"310,070"
DR Congo,"86,790,567",3.24,"2,722,476","23,861",16.8,6.31,38,45,"39,067,608",1.13,"7,713,468,100",16,"2,267,050"
Turkey,"83,429,615",1.32,"1,089,527","283,922",30.2,2.11,108,75.2,"62,743,912",1.08,"7,713,468,100",18,"769,630"
Iran,"82,913,906",1.36,"1,113,718","-55,000",30.1,1.96,51,75.3,"62,439,455",1.07,"7,713,468,100",19,"1,628,550"
